Open,Close,High,Low
10736.7,10756.8,10816.2,10736.7
10756.5,10813.2,10833.0,10756.5
10813.7,10814.1,10842.4,10804.6
10815.3,10855.9,10864.9,10815.3
10855.3,10838.9,10860.4,10816.2
10839.2,10814.7,10841.9,10802.7
10814.8,10846.9,10849.4,10810.7
10847.7,10877.2,10881.8,10843.4
10877.4,10863.3,10891.6,10860.8
10863.4,10897.9,10900.4,10860.9
10897.9,10902.7,10908.3,10888.2
10902.4,10908.1,10919.2,10889.6
10908.9,10926.4,10929.3,10902.4
10926.4,10932.1,10944.4,10918.7
10932.4,10904.7,10933.7,10902.4
10904.8,10901.4,10914.4,10892.7
10901.2,10927.4,10927.8,10899.2
10926.9,10908.9,10926.9,10900.9
10909.2,10923.4,10925.1,10894.2
10922.7,10926.3,10930.9,10914.2
10926.4,10914.2,10929.1,10911.4
10914.6,10928.4,10931.4,10909.9
10928.8,10956.9,10966.1,10928.2
10956.9,10946.7,10961.2,10944.6
10946.8,10954.2,10957.6,10946.4
10954.3,10952.1,10960.4,10948.4
10951.9,10949.7,10961.8,10945.9
10949.8,10954.7,10957.1,10939.8
10954.8,10934.7,10956.9,10931.1
10934.7,10943.6,10948.3,10933.8
10943.8,10936.7,10952.1,10936.2
10936.9,10941.9,10942.6,10928.4
10942.1,10935.7,10943.7,10927.9
10935.9,10940.4,10945.6,10934.7
10939.9,10933.7,10942.7,10927.8
10933.6,10935.7,10937.4,10920.4
10936.7,10939.9,10942.7,10931.4
10940.1,10950.2,10957.9,10939.9
10950.2,10953.9,10960.7,10944.9
10954.3,10949.9,10957.3,10944.7
10950.4,10956.3,10959.8,10948.4
10956.2,10964.8,10968.7,10953.1
10964.9,10979.8,10980.3,10964.8
10979.7,10983.1,10985.1,10972.6
10982.2,10986.4,10995.8,10982.1
10986.6,10987.8,10991.1,10981.3
10988.2,10985.9,10988.4,10980.4
10985.8,10995.1,10997.4,10983.4
10995.8,11002.3,11005.7,10993.7
11002.2,11005.9,11006.2,10992.6
11008.2,11022.9,11031.1,11004.2
11022.7,11030.2,11032.9,11022.4
11030.3,11046.1,11047.7,11029.3
11046.7,11030.1,11047.1,11026.3
11030.2,11033.1,11037.7,11028.1
11033.2,11043.7,11048.6,11027.4
11043.6,11045.3,11048.7,11034.2
11045.3,11047.7,11048.4,11033.4
11047.9,11071.1,11071.9,11044.1
11071.1,11061.3,11071.7,11060.9
11061.4,11081.1,11087.2,11060.8
11080.9,11083.4,11085.4,11076.2
11083.2,11079.6,11084.8,11066.2
11079.7,11072.2,11086.3,11067.4
11072.3,11064.9,11072.4,11055.1
11064.7,11055.9,11066.6,11052.3
11056.3,11069.8,11076.2,11055.8
11070.7,11065.0,11073.4,11056.2
11064.9,11064.7,11071.9,11062.5
11064.5,11052.0,11072.2,11051.7
11052.9,11035.6,11052.9,11029.6
11034.2,11036.5,11048.9,11027.4
11035.5,11014.5,11040.1,11014.4
11015.3,11027.0,11028.6,11014.9
11026.9,11023.0,11027.8,11021.6
11023.3,11024.8,11029.6,11022.3
11024.5,11025.5,11026.6,11024.3
11025.8,11024.8,11025.9,11022.8
11024.0,11025.4,11026.0,11021.8
11025.3,11025.3,11028.5,11024.3
