Open,Close,High,Low,ATR,MACD,Signal Line,Trade
12013.9,12022.1,12025.9,12013.0,21.75,56.24,27.64,BUY
12208.8,12195.4,12208.9,12188.4,19.05000000000005,-42.99,12.56,SELL
12162.9,12168.4,12169.5,12162.6,15.849999999999843,-18.54,-2.44,SELL
12168.2,12163.0,12168.4,12160.9,14.528571428571272,-14.03,-7.66,SELL
11926.5,11911.7,11933.7,11907.7,30.085714285714467,17.97,15.56,BUY
11941.4,11928.9,11943.4,11923.4,20.54285714285717,15.74,19.47,SELL
11930.8,11952.3,11957.8,11929.2,21.049999999999923,13.5,18.14,SELL
11974.1,11973.1,11974.6,11972.8,7.692857142857325,-5.29,3.15,SELL
12077.6,12076.6,12082.4,12075.0,16.357142857142467,9.88,8.82,BUY
12129.6,12123.2,12134.7,12121.8,13.100000000000493,-14.82,-0.8,SELL
11945.3,11946.1,11951.5,11928.6,30.18571428571418,18.24,-10.88,BUY
11934.0,11929.8,11945.0,11925.6,23.36428571428561,24.4,-3.62,BUY
12067.4,12053.2,12070.5,12053.0,18.471428571428596,-28.51,-14.97,SELL
12032.4,12044.2,12048.5,12032.4,19.54285714285717,-20.58,-15.35,SELL
12044.4,12044.6,12051.6,12038.7,19.55000000000005,-18.29,-15.61,SELL
12204.8,12212.4,12216.9,12203.9,16.057142857142804,-2.9,-7.85,BUY
12348.0,12326.5,12348.0,12324.5,14.157142857142778,18.21,-5.17,BUY
12161.7,12158.3,12168.3,12157.3,14.79285714285717,16.7,9.72,BUY
12191.2,12192.1,12195.1,12181.3,19.957142857142962,-5.08,-9.13,BUY
12157.8,12160.1,12173.3,12157.4,17.04285714285717,23.16,13.23,BUY
12138.2,12139.2,12141.7,12135.4,12.200000000000207,13.22,18.11,SELL
12312.4,12286.6,12312.6,12282.3,23.107142857142858,-36.58,-6.06,SELL
12286.4,12282.8,12291.8,12272.2,22.621428571428492,-33.5,-10.69,SELL
12268.2,12275.1,12282.3,12266.6,19.607142857142858,-7.77,-13.02,BUY
12253.2,12263.1,12269.3,12250.2,19.964285714285456,15.7,-9.24,BUY
12218.6,12222.4,12228.7,12208.9,21.192857142857324,20.48,8.98,BUY
12100.2,12070.8,12102.1,12070.4,22.928571428571427,48.04,21.38,BUY
12069.9,12081.1,12087.3,12067.6,23.63571428571426,49.53,26.36,BUY
12096.4,12077.2,12104.1,12068.7,25.992857142857115,57.94,41.36,BUY
11963.6,11967.1,11978.6,11959.8,35.73571428571462,-39.56,0.54,SELL
11967.3,11922.1,11977.8,11921.3,35.00000000000026,-38.98,-10.39,SELL
11922.2,11923.7,11935.1,11912.3,34.73571428571462,-34.26,-21.18,SELL
11922.2,11924.9,11937.6,11918.3,32.32142857142883,-23.89,-29.21,BUY
11816.1,11796.4,11819.4,11793.1,24.692857142856933,43.28,36.03,BUY
11796.3,11804.4,11809.9,11788.4,23.285714285714025,45.22,39.46,BUY
11803.6,11800.5,11806.1,11792.5,22.699999999999818,47.11,42.1,BUY
11927.9,11958.4,11980.7,11924.9,28.04285714285743,-31.69,-14.36,SELL
11915.5,11927.0,11949.7,11911.7,25.857142857142986,-28.77,-24.57,SELL
11938.2,11952.5,11988.7,11923.0,62.221428571428724,-60.63,-24.76,SELL
11992.5,11995.0,12002.0,11974.0,44.071428571428314,25.84,7.62,BUY
12027.9,12024.7,12032.6,12005.0,33.73571428571423,-23.71,-0.78,SELL
